,description
10954,"Made by a vigneron, which means a guy named Lavantureux actually grew the grapes and made the wine himself. It also means, at least in theory, that it received a lot of TLC. Not cheap, but an excellent value among French Chardonnay. It offers nothing but the purest of fruit: pineapple, mango, apple and then a smooth slide toward a sleek finish. Seek the vintage if possible. Yet another winner courtesy of veteran importer Kermit Lynch."
10955,"Striking a great balance between elegance and richness, this shows plenty of sweet fruit, white peaches and quince, while also keeping poise with  its structure and finishing acidity. This will be a great food Chardonnay."
10956,"Great toasty aromas sweep out of the glass with this delicious wine. It has ripe fruit rather than high dosage, giving the richness of Chardonnay with tastes of white peaches and apricots. A fine wine.  Imported by Michael Skurnik Wines."
10957,"Produced from biodynamically cultivated vineyards. This wine gushes fruit, with great pure crisp flavors and deliciously clean acidity as part of the finish. Imported by Michael Skurnik Wines."
10958,"No doubt Le Roi Soleil (Louis XIV, the Sun King) would have downed plenty of Champagne given half a chance, so I'm surprised this is the first wine I have come across named after one of history's great hedonists. This is actually quite a delicate wine, crisp and fresh, with a deliciously clean streak of acidity."
10959,"Enticing aromas of white fruits set the scene for a wine that is very fresh, very crisp, the epitome of dry, clean, delicious Chardonnay. It has great acidity and a crisp, clear dry aftertaste. Imported by Henriot USA."
10960,"Formerly known as Crémant de Cramant (a name now banned because it refers to sparkling wines from Burgundy, Alsace, the Loire and Limoux), Mumm continues to make this blanc de blancs, which is famed for its lightness. It is great to see they are also giving the wine some bottle age, which brings out delicious, toasty, nutty characters. Imported by Allied Domecq Wines USA."
10961,"A piercingly steely wine, all angles and acidity. That said, there's a greater depth of flavor that needs time to come out—the richness of the green fruit is there, as is the hint of wood. The corners need to soften for a year or so."
10962,"Rich, full and spiced with generous wood, this is deliciously fat Meursault. Almost honeyed in flavor and given backbone by some minerality; there's good ripeness here. An almost opulent wine."
10963,"There's good concentration with this wine. It shows green apples, pears and green plum skin flavors. On top, there is wood, well balanced with the fruit; a sumptuous mix that shows the generosity of 2005."
10964,"“Fullness and goodness” is a rough translation of the name of this wine. It's an accurate description of its richness. There is great spice, bolstering the full fruit, showing a mineral, chalky structure along with fresh green fruits."
10965,"Herb tea and white flower aromas give this wine a fine start. The Chardonnay flavors are all there: a touch of vanilla, some almonds, and pears. Fresh and  rich. Could age for a couple of years. Multiple U.S. importers."
10966,"Great fresh Chardonnay flavors give this Champagne a good lift. It is fresh, but has some good structure, as well as enticing, creamy, nutty flavors. The acidity gives the whole wine a sense of crispness."
10967,"This  comes from the 88-acre Domaine des Deux Roches. Big and rich, but freshened with great acidity. The fruits are green, given a tightness by minerality and wood. Drink this summer with freshly-caught trout by the camp fire."
10968,"This is a very polished modern style of Champagne. It has almond flavors, layered with toast and green fruit. In the delicate style of Bruno Paillard Champagnes, this is certainly an apéritif wine. Imported by Vintus LLC."
10969,"Biscuit aromas are a good starter for this bone-dry Champagne, which works because of bottle aging. It is crisp, full of biscuit tastes with some green fruits. It also has a tannic structure; piercingly dry overall. Imported by De Saint Gall."
10970,"Mainly from the lieu dit vineyard of Crotot, this is powerful, rounded in the way that Meursault should be. The fruit is ripe, filling the mouth with apples and cream flavors, topped by understated wood."
10971,"Muscular, powering its way with richness and structured tannins. The white pear and almond flavors seem to sit on top of this dense wine, which will need to age. It reflects the super-rich side of white Burgundy in 2005."
10972,"A limited production wine from Labouré-Roi's own vineyards, this is powerful and ripe, but tempered with refreshing acidity. With its spice and ginger flavors, it rolls richly around the mouth, and then finishes crisp and fresh."
10973,"Super-ripe, and powerful, with an edge of new wood, but mainly dominated by apricots and rich white fruits. It's big and ripe, just keeping on the right side of blowsy."
10974,"A delicious green and white fruit-flavored wine, spiced up by some new wood, rounded out with cream and then sharpened with acidity. Ready to drink, but could age for 2 years."
10975,"Ripe but minerally, all flint and crisp fruit along with the richness from the structure and green plum and wood flavors. This blending of fruit from a number of Chablis Premier Cru vineyards shows the rich, ageworthy nature of 2005."
10976,"A 100% Chardonnay that is rich, with a creamy feel and flavors of tropical fruits. It is full and food-friendly with a dry aftertaste, and a touch of almonds. Imported by Kobrand."
10977,"Very open and ripe, touched with wood and centered around some creamy red apple and green pear flavors. The wood comes through strongly later, leaving a powerful vanilla aftertaste."
10978,"A rich, lush melange of fruit and nuts, with sinuous, almost unctuous flavors that twine around the palate like a snake. Long, fascinating finish, elegantly balanced and precise."
10979,"A very fruity wine with toast and maturity. It also has a creamy texture, but the finish is spoiled by some unbalanced sweetness. Imported by Moët Hennessy USA."
